event,city,user_id,gaid,lr_uid,brand,date_stamp_ist,date_ist
App Access,Rajkot,69a4e3aa65af4387b732413655915e24,352558ca-5baf-4369-b158-f6b3124fc934,69a4e3aa65af4387b732413655915e24,samsung,01-11-2020,01-11-2020 13:00
mediaReady,Lucknow,null,98475c1c-c8e2-4c66-9a80-80dee1c7bf88,pu7es9sY20Q6LSWWEtM9LfaiEt73,vivo,01-11-2020,01-11-2020 13:06
Video Watched,Lucknow,null,ed8f6c37-4673-407a-b8b0-8694c732c55f,26Bl064Ve9fvdU1THk0KqnvheFh1,samsung,01-11-2020,01-11-2020 13:54
App Access,Kolkata,YealoHecUMPgzCU933WxYzO5E0l2,1a138ba2-1bd9-4df6-b94f-69fe05b4ef68,YealoHecUMPgzCU933WxYzO5E0l2,HONOR,01-11-2020,01-11-2020 12:07
App Access,Kolkata,pgywT5PNQ0WXms1wM12Zz7bXhaY2,9fc7648f-3c6a-499e-8b35-7ce3c68857f1,pgywT5PNQ0WXms1wM12Zz7bXhaY2,vivo,01-11-2020,01-11-2020 12:53
App Access,Mangalore,null,95c975ed-a501-4356-b872-48956538a6ad,SzxWrirPwNRNUeBhgvMi3uW9o9s2,vivo,01-11-2020,01-11-2020 13:01
Video Watched,Delhi,115acb5cbcc94dd1b28d59e00dc44a99,b36c1dd9-48a4-482f-ba06-992c38075219,115acb5cbcc94dd1b28d59e00dc44a99,xiaomi,01-11-2020,01-11-2020 12:47
App Access,Dombivali,047a6d938ade488991b5febd8d7485f3,3db5e637-b122-40d6-93b1-46f34d7ad652,047a6d938ade488991b5febd8d7485f3,vivo,01-11-2020,01-11-2020 13:00
mediaReady,Hyderabad,tjNMUoqqaiYP4wW5iqBwn4ejwVJ2,42a1ebb2-519d-4bf3-a78c-337f0bd770a7,tjNMUoqqaiYP4wW5iqBwn4ejwVJ2,OPPO,01-11-2020,01-11-2020 13:22
mediaReady,Bhubaneswar,b61dfc03aa504251adf9f1e243811539,54265c62-7cc0-418f-a9bb-59a06ee9f337,b61dfc03aa504251adf9f1e243811539,Realme,01-11-2020,01-11-2020 12:03
App Access,Mumbai,null,8cf7a919-efe5-42c3-9046-2d12a155a763,Io37pAK5TXS8xWQzahnIJD5iFM13,samsung,01-11-2020,01-11-2020 12:25
App Access,Shimoga,YZ976Xb30FYpqx5z5HzEowFdpTw1,0e932912-ce4b-4482-81ac-069fa5636142,YZ976Xb30FYpqx5z5HzEowFdpTw1,Xiaomi,01-11-2020,01-11-2020 13:40
App Access,Jodhpur,ueOQxDnH4wMXiSysLnTKqiLharP2,cbe9aae0-dadc-4bde-b806-3eb191b167a8,ueOQxDnH4wMXiSysLnTKqiLharP2,samsung,01-11-2020,01-11-2020 13:24
mediaReady,Banka,null,ff640dcf-5ba0-41d5-9dc9-5bec39ee009b,DCMmosdPZug3A7OGzD7wAKl40le2,xiaomi,01-11-2020,01-11-2020 13:59
App Access,Mundamveli,null,996607b5-9842-4c21-8642-f90fa5887d2a,8RUGfaP6jHeFwzIIAGbbKU0iRyD3,samsung,01-11-2020,01-11-2020 12:21
App Access,Delhi,null,00000000-0000-0000-0000-000000000000,null,null,01-11-2020,01-11-2020 12:09
Video Watched,Jaipur,null,89894c64-464e-44dd-9d0d-f9998d3cf5f8,WrBp3OPKwLTja4ZKr6CfFWLuoUI2,Xiaomi,01-11-2020,01-11-2020 12:45
App Access,Imphal,null,ec9a777b-23db-4b9c-b2ad-1eec8893f9be,z2kESeYyEjXqwYTpHHFgIo40gAV2,Nokia,01-11-2020,01-11-2020 11:49
Video Watched,Mumbai,47ceb917d85f4485b7d733f58ed49f05,ca7d6c96-f0cc-4d29-aaa9-5652b9c886b1,47ceb917d85f4485b7d733f58ed49f05,samsung,01-11-2020,01-11-2020 13:47
Video Watched,Gaya,35b50da4c1fa43a8b8d7e2546ab7266d,249d913d-0fa2-4b2e-b404-8a24340e7a37,35b50da4c1fa43a8b8d7e2546ab7266d,samsung,01-11-2020,01-11-2020 13:35
Video Watched,Chandigarh,null,87eb66bd-6fbb-41e6-b166-3e7399275bde,a92cbc868a0049b28138c37b47af2725,samsung,01-11-2020,01-11-2020 12:49
mediaReady,Mumbai,8oOIgc07ZiPvOIlgJhEJEUSx2RD2,a3855f2a-e8b7-4966-a1d3-23b57d62d9b5,8oOIgc07ZiPvOIlgJhEJEUSx2RD2,OPPO,01-11-2020,01-11-2020 12:34
App Access,Surat,119fc7f3b228477ba53720f25cd02a95,51197385-9760-41f6-ae02-d00db700ef6a,119fc7f3b228477ba53720f25cd02a95,OnePlus,01-11-2020,01-11-2020 12:36
App Access,Kolkata,8de1f9875d2942dbb77899ddec8e5858,102a5647-13f0-48ab-aa86-3384be20dc55,8de1f9875d2942dbb77899ddec8e5858,Realme,01-11-2020,01-11-2020 12:18
App Access,Pune,00862c937b984c4daae356b720931799,4540edab-348b-42fc-a433-c19fff57d8ef,00862c937b984c4daae356b720931799,samsung,01-11-2020,01-11-2020 13:45
App Access,Patna,36b12cc5723d4da7aecfdc8245f35265,61146bae-9536-42d6-b2dc-c25198a2b6c0,36b12cc5723d4da7aecfdc8245f35265,realme,01-11-2020,01-11-2020 12:36
App Access,Bhopal,ae920b93d4e240c28e2c932c6e801ed9,8ac3b21a-ffc5-460a-afad-df9b285cc08a,ae920b93d4e240c28e2c932c6e801ed9,vivo,01-11-2020,01-11-2020 12:51
mediaReady,Mumbai,null,e100fe53-51e0-46f4-b49a-7b0945c714f7,zvn6z3b0qTegvts51JtLZ9KelbI3,motorola,01-11-2020,01-11-2020 13:19
App Access,Bengaluru,null,6b783fbd-30b4-4a4f-b53a-25b89b54ff1b,UVM4JlSA0mdCislRiUuU8h4kpZ02,xiaomi,01-11-2020,01-11-2020 13:42
App Access,Ahmedabad,IsMiiTubr2gCsgcCaa0tcXloM543,327ff7bd-a3ef-481d-a1f5-c8571d4a70d1,IsMiiTubr2gCsgcCaa0tcXloM543,xiaomi,01-11-2020,01-11-2020 13:18
mediaReady,Hyderabad,2e3ef081e6a9452384530306b1337215,2e8c25ea-fdf0-43c8-8393-3431e9a63c32,2e3ef081e6a9452384530306b1337215,samsung,01-11-2020,01-11-2020 13:55
App Access,Mumbai,47585d8af25e48abbac60942f1605e12,bde29365-867f-414e-89d1-2c67f214087d,47585d8af25e48abbac60942f1605e12,realme,01-11-2020,01-11-2020 13:46
mediaReady,Chennai,AKGm9czRBiQzJlIBUquWTNsROJ82,1087ee37-ef30-445b-bee4-662303cd2e93,AKGm9czRBiQzJlIBUquWTNsROJ82,OPPO,01-11-2020,01-11-2020 13:18
Video Watched,Sonipat,null,63f0c5e3-60e0-43f3-9008-74157042890e,sxk7JtC9wnWRFiRSPLm1Q8L7UcR2,OPPO,01-11-2020,01-11-2020 13:09
App Access,null,null,ebf95e6d-3c95-4032-a809-5104d674aa3c,wNmHFByOxVXtMYCSYUCOgHHVHSV2,OnePlus,01-11-2020,01-11-2020 13:23
mediaReady,Delhi,l5u3qbKjuHNMkyvLOshKYNlatGq2,da01b997-bcdc-4666-b42b-5398ea612bb4,l5u3qbKjuHNMkyvLOshKYNlatGq2,Xiaomi,01-11-2020,01-11-2020 12:03
mediaReady,Bhubaneswar,0238bb0e28d54b2c887c377416599c0d,c8922253-b4b1-4234-bf17-f1883ae0f5f4,0238bb0e28d54b2c887c377416599c0d,xiaomi,01-11-2020,01-11-2020 13:46
mediaReady,Patna,058e0cd7704c480fab9db6c04c2637f8,71852125-ae96-4914-a727-2679c4248024,058e0cd7704c480fab9db6c04c2637f8,xiaomi,01-11-2020,01-11-2020 13:05
App Access,Ludhiana,25YMJt6JngYgnG2WtBR6Xs2fPvM2,6d0b35b7-46f9-4e2f-94de-87914549e16c,25YMJt6JngYgnG2WtBR6Xs2fPvM2,vivo,01-11-2020,01-11-2020 13:34
App Access,Lucknow,null,19f5b6f7-ab23-456e-8644-5148006bcd89,1uk8LwEoMJYkzIK0E4XVoJ7DZw72,OPPO,01-11-2020,01-11-2020 12:42
App Access,Ludhiana,null,2d79e547-1c62-4cc1-a341-482b2c347e64,FuZ7UOnB17UFP9m12K45HvUzDB43,samsung,01-11-2020,01-11-2020 12:34
App Access,Bhubaneswar,74d9de9345424df4b5230c0819acd959,2b20d9d8-28da-4043-b15f-93f2167c9aea,74d9de9345424df4b5230c0819acd959,samsung,01-11-2020,01-11-2020 09:43
Video Watched,Jaipur,914eb7c210fc4037b21648aabce320f2,e20dd901-85fe-43f4-8bc5-9de9f4790859,914eb7c210fc4037b21648aabce320f2,vivo,01-11-2020,01-11-2020 13:18
App Access,New Delhi,null,651c7059-50ba-457f-816e-dd0e0ea74ca8,V31oI6JEeNXwmRl59wsuFODBdHV2,samsung,01-11-2020,01-11-2020 13:53
mediaReady,Lucknow,5U1nezUHjBMrbOLajPTmRMC22lB3,5290b40c-e4de-4a54-8b81-9625cde27d4a,5U1nezUHjBMrbOLajPTmRMC22lB3,xiaomi,01-11-2020,01-11-2020 12:10
Video Watched,Pune,null,bdd9dfd0-c13c-491c-be54-f525baa4e726,JgPcE5gQCqbW6rDNkIYRta5NmYl1,samsung,01-11-2020,01-11-2020 12:13
App Access,Surat,null,c475dded-7771-4c9e-93db-5f383640ea76,n5JPWKqWwpSZAK5DkRX1qnumkI43,xiaomi,01-11-2020,01-11-2020 13:28
App Access,Lucknow,FpMoIovmcda2yaWIl6NNJEj5tgJ2,72330ef6-79c4-4bf9-bbb0-35e171c14769,null,vivo,01-11-2020,01-11-2020 13:39
App Access,Mainpuri,ec97c5493bd3415fbf0dde62ffce6957,83993b0d-ffb9-40f1-b655-21013098eda6,ec97c5493bd3415fbf0dde62ffce6957,OPPO,01-11-2020,01-11-2020 13:57
App Access,Ludhiana,y7reLX4tnBbDmGrniZkkfsPImbe2,1711ff1a-4af8-4b8c-a64d-57736db90226,y7reLX4tnBbDmGrniZkkfsPImbe2,vivo,01-11-2020,01-11-2020 12:43
